rank,name,evidence_class,ten_pass_min_pct,ten_pass_avg_pct,pass1_ratio,payback_pass,raw_500,block_bits,j_bits,k_xor,alphabet,refresh,phi,S0,depth,compute
1,singles_position_salt_J2_B4,math_candidate,0.428744,0.481165,1.740071,,,4,2,1,audited_equiv,position_salt,1.0,1,28,masked_targets_shared_table_cheap
2,single_cheap_then_audited_phi1.0,math_candidate,0.397364,0.431676,1.245038,,,8,2,1,single_cheap|audited_equiv,position_salt,1.0,1,28,masked_targets_shared_table_cheap
3,singles_position_salt_J2_B8,math_candidate,0.366100,0.386415,1.369318,,,8,2,1,audited_equiv,position_salt,1.0,1,28,masked_targets_shared_table_cheap
4,single_cheap_const_phi1.0,math_candidate,0.346160,0.368135,1.245038,,,8,2,1,single_cheap,position_salt,1.0,1,28,masked_targets_shared_table_cheap
5,singles_permutation_J2_B4,math_candidate,0.314543,0.372173,1.740071,,,4,2,1,audited_equiv,permutation,1.0,1,28,shared_table_cheap
6,entry_singles_run_phi0.75_S1024_J2,math_candidate,0.307282,0.318100,1.279295,,,8,2,1,entry_singles_run,position_salt,0.75,1024,28,masked_targets_shared_table_cheap
7,grid_mix_phi0.75_S1024_J2,math_candidate,0.304506,0.315780,1.279318,,,8,2,1,grid_mix,position_salt,0.75,1024,28,masked_targets_shared_table_cheap
8,entry_singles_run_phi0.75_S8192_J2,math_candidate,0.303968,0.314187,1.292370,,,8,2,1,entry_singles_run,position_salt,0.75,8192,28,masked_targets_shared_table_cheap
9,grid_mix_phi0.75_S8192_J2,math_candidate,0.302601,0.313475,1.292368,,,8,2,1,grid_mix,position_salt,0.75,8192,28,masked_targets_shared_table_cheap
10,grid_heavy_phi0.75_S8192_J2,math_candidate,0.290714,0.295761,1.292708,,,8,2,1,grid_heavy,position_salt,0.75,8192,28,masked_targets_shared_table_cheap
11,grid_heavy_phi0.75_S65536_J2,math_candidate,0.290431,0.296074,1.375392,,,8,2,1,grid_heavy,position_salt,0.75,65536,28,masked_targets_shared_table_cheap
12,grid_heavy_phi0.75_S1024_J2,math_candidate,0.290207,0.295220,1.279698,,,8,2,1,grid_heavy,position_salt,0.75,1024,28,masked_targets_shared_table_cheap
13,grid_mix_phi0.75_S65536_J2,math_candidate,0.287422,0.295652,1.375339,,,8,2,1,grid_mix,position_salt,0.75,65536,28,masked_targets_shared_table_cheap
14,grid_heavy_phi0.75_S262144_J2,math_candidate,0.286454,0.299681,1.603829,,,8,2,1,grid_heavy,position_salt,0.75,262144,28,masked_targets_shared_table_cheap
15,entry_singles_run_phi0.75_S65536_J2,math_candidate,0.283183,0.289908,1.375442,,,8,2,1,entry_singles_run,position_salt,0.75,65536,28,masked_targets_shared_table_cheap
16,grid_mix_phi0.75_S262144_J2,math_candidate,0.282657,0.295016,1.603927,,,8,2,1,grid_mix,position_salt,0.75,262144,28,masked_targets_shared_table_cheap
17,entry_singles_run_phi0.75_S262144_J2,math_candidate,0.277768,0.288135,1.604082,,,8,2,1,entry_singles_run,position_salt,0.75,262144,28,masked_targets_shared_table_cheap
18,singles_position_salt_J3_B4,math_candidate,0.239266,0.257047,1.745087,,,4,3,1,audited_equiv,position_salt,1.0,1,48,masked_targets_shared_table_cheap
19,single_cheap_then_audited_phi0.5,math_candidate,0.238233,0.242698,1.123949,,,8,2,1,single_cheap|audited_equiv,position_salt,0.5,65536,28,masked_targets_shared_table_cheap
20,entry_singles_run_phi0.5_S1024_J2,math_candidate,0.232842,0.235497,1.187094,,,8,2,1,entry_singles_run,position_salt,0.5,1024,28,masked_targets_shared_table_cheap
21,singles_permutation_J3_B4,math_candidate,0.231040,0.252154,1.745087,,,4,3,1,audited_equiv,permutation,1.0,1,48,shared_table_cheap
