rank,upper_bound_pct_current,effective_pass_min_pct,effective_pass_avg_pct,final_ratio_raw,final_raw_50,final_raw_100,final_raw_200,final_raw_500,payback_pass_count,payback_effective_pass_count,viability_class,block_bits,arity_cap,depth_bits,depth_schedule_bits,initial_literal_overhead_bits,rechunk_schedule,rechunk_channel,policy,refresh,delta,max_variants,max_expected_live_variants,max_optimistic_to_conservative_multiplier,working_variant_entries_proxy,equal_size,bloat_retained
1,1.659653538,0.526628592,0.526628594,1.096781512008,0.892661463983,0.685533481359,0.404308116952,0.082940044269,29,28,failed_audit_uncharged_passthrough,64,5,16,16,10,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.018221241,296000000.000,False,True
2,1.659653538,0.526628572,0.526628574,1.146186086720,0.932871449724,0.716413385694,0.422520222807,0.086676123074,37,36,failed_audit_uncharged_passthrough,48,5,16,16,10,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.018221241,231999999.967,False,True
3,1.659653538,0.526628537,0.526628540,1.244986642757,1.013284427119,0.778167823145,0.458941266727,0.094147630842,53,52,failed_audit_uncharged_passthrough,32,5,16,16,10,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.018221241,167998840.341,False,True
4,1.659653538,0.526628507,0.526628510,1.342801926474,1.092895499491,0.839306424990,0.494999108407,0.101544631163,67,66,failed_audit_uncharged_passthrough,24,5,16,16,10,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.018221241,135898545.838,False,True
5,1.659653538,0.169830346,0.169830346,1.136762758988,1.063849992617,0.977171637904,0.824426171154,0.495101816578,87,86,failed_audit_uncharged_passthrough,64,5,16,16,10,4,uncharged_diagnostic,left_to_right,no_refresh,16,16,16.000000000,1.018221241,296000000.000,False,True
6,1.659653538,0.526628458,0.526628462,1.538525843414,1.252193620629,0.961641975949,0.567149203319,0.116345691004,93,92,failed_audit_uncharged_passthrough,16,5,16,16,10,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.018221241,103804549.639,False,True
7,1.659653538,0.169830346,0.169830346,1.187968288505,1.111771163299,1.021188378207,0.861562485049,0.517403700135,113,112,failed_audit_uncharged_passthrough,48,5,16,16,10,4,uncharged_diagnostic,left_to_right,no_refresh,16,16,16.000000000,1.018221241,231999999.967,False,True
8,1.659653538,0.528695390,0.528695398,1.868123313994,1.519218676709,1.165496621101,0.685950190294,0.139842548921,129,128,failed_audit_uncharged_passthrough,8,5,48,48,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.024249332,63034364.639,True,True
9,1.659653538,0.528695390,0.528695398,1.868123313994,1.519218676709,1.165496621101,0.685950190294,0.139842548921,129,128,failed_audit_uncharged_passthrough,8,5,48,48,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,32,16,16.000000000,1.024249332,63034364.639,True,True
10,1.659653538,0.528695390,0.528695398,1.868123313994,1.519218676709,1.165496621101,0.685950190294,0.139842548921,129,128,failed_audit_uncharged_passthrough,8,5,48,48,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,64,16,16.000000000,1.024249332,63034364.639,True,True
11,1.659653538,0.528695390,0.528695398,1.868158547959,1.519247330111,1.165518603082,0.685963127726,0.139845186417,129,128,failed_audit_uncharged_passthrough,8,5,32,32,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,64,16,16.000000000,1.024359816,63035553.507,True,True
12,1.659653538,0.528695390,0.528695398,1.868158547959,1.519247330111,1.165518603082,0.685963127726,0.139845186417,129,128,failed_audit_uncharged_passthrough,8,5,32,32,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,32,16,16.000000000,1.024359816,63035553.507,True,True
13,1.659653538,0.528695390,0.528695398,1.868158547959,1.519247330111,1.165518603082,0.685963127726,0.139845186417,129,128,failed_audit_uncharged_passthrough,8,5,32,32,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.024359816,63035553.507,True,True
14,1.659653538,0.527717183,0.527717191,1.868345637355,1.519982319278,1.166655968048,0.687308087683,0.140533365325,130,129,failed_audit_uncharged_passthrough,8,5,48,48,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.024249332,63035667.048,False,True
15,1.659653538,0.527717183,0.527717191,1.868345637355,1.519982319278,1.166655968048,0.687308087683,0.140533365325,130,129,failed_audit_uncharged_passthrough,8,5,48,48,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,32,16,16.000000000,1.024249332,63035667.048,False,True
16,1.659653538,0.527717183,0.527717191,1.868345637355,1.519982319278,1.166655968048,0.687308087683,0.140533365325,130,129,failed_audit_uncharged_passthrough,8,5,48,48,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,64,16,16.000000000,1.024249332,63035667.048,False,True
17,1.659653538,0.527717183,0.527717191,1.868380874950,1.520010986626,1.166677971543,0.687321050519,0.140536015808,130,129,failed_audit_uncharged_passthrough,8,5,32,32,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,32,16,16.000000000,1.024359816,63036855.920,False,True
18,1.659653538,0.527717183,0.527717191,1.868380874950,1.520010986626,1.166677971543,0.687321050519,0.140536015808,130,129,failed_audit_uncharged_passthrough,8,5,32,32,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.024359816,63036855.920,False,True
19,1.659653538,0.527717183,0.527717191,1.868380874950,1.520010986626,1.166677971543,0.687321050519,0.140536015808,130,129,failed_audit_uncharged_passthrough,8,5,32,32,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,64,16,16.000000000,1.024359816,63036855.920,False,True
20,1.659653538,0.528694698,0.528694706,1.874236412268,1.524190460626,1.169311223261,0.688195742964,0.140300632911,130,129,failed_audit_uncharged_passthrough,8,5,24,24,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.024378535,63240628.885,True,True
21,1.659653538,0.528694698,0.528694706,1.874236412268,1.524190460626,1.169311223261,0.688195742964,0.140300632911,130,129,failed_audit_uncharged_passthrough,8,5,24,24,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,64,16,16.000000000,1.024378535,63240628.885,True,True
22,1.659653538,0.528694698,0.528694706,1.874236412268,1.524190460626,1.169311223261,0.688195742964,0.140300632911,130,129,failed_audit_uncharged_passthrough,8,5,24,24,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,32,16,16.000000000,1.024378535,63240628.885,True,True
23,1.659653538,0.527716479,0.527716487,1.874459339555,1.524956508555,1.170474299444,0.689558055086,0.140993710851,130,129,failed_audit_uncharged_passthrough,8,5,24,24,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,16,16,16.000000000,1.024378535,63241931.313,False,True
24,1.659653538,0.527716479,0.527716487,1.874459339555,1.524956508555,1.170474299444,0.689558055086,0.140993710851,130,129,failed_audit_uncharged_passthrough,8,5,24,24,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,64,16,16.000000000,1.024378535,63241931.313,False,True
25,1.659653538,0.527716479,0.527716487,1.874459339555,1.524956508555,1.170474299444,0.689558055086,0.140993710851,130,129,failed_audit_uncharged_passthrough,8,5,24,24,8,4,uncharged_diagnostic,greedy_largest_gain,no_refresh,32,16,16.000000000,1.024378535,63241931.313,False,True
