rank,name,evidence_class,ten_pass_min_pct,ten_pass_avg_pct,pass1_ratio,payback_pass,raw_500,block_bits,j_bits,k_xor,alphabet,refresh,phi,S0,depth,compute
1,grid_mix_phi0.75_S262144_J2,math_candidate,1.023710,1.231552,1.584357,,,8,2,1,grid_mix,position_salt,0.75,262144,28,masked_targets_shared_table_cheap
2,grid_heavy_phi0.75_S262144_J2,math_candidate,1.011046,1.228382,1.583958,,,8,2,1,grid_heavy,position_salt,0.75,262144,28,masked_targets_shared_table_cheap
3,entry_singles_run_phi0.75_S262144_J2,math_candidate,1.002465,1.164386,1.586735,,,8,2,1,entry_singles_run,position_salt,0.75,262144,28,masked_targets_shared_table_cheap
4,grid_heavy_phi0.5_S262144_J2,math_candidate,0.908029,0.991111,1.531088,,,8,2,1,grid_heavy,position_salt,0.5,262144,28,masked_targets_shared_table_cheap
5,grid_mix_phi0.5_S262144_J2,math_candidate,0.815072,0.872519,1.533409,,,8,2,1,grid_mix,position_salt,0.5,262144,28,masked_targets_shared_table_cheap
6,entry_singles_run_phi0.75_S262144_J3,math_candidate,0.747603,0.846592,1.625641,,,8,3,1,entry_singles_run,position_salt,0.75,262144,48,masked_targets_shared_table_cheap
7,grid_mix_phi0.75_S262144_J3,math_candidate,0.735940,0.833474,1.625865,,,8,3,1,grid_mix,position_salt,0.75,262144,48,masked_targets_shared_table_cheap
8,entry_singles_run_phi0.5_S262144_J2,math_candidate,0.715985,0.740092,1.536117,,,8,2,1,entry_singles_run,position_salt,0.5,262144,28,masked_targets_shared_table_cheap
9,grid_heavy_phi0.75_S262144_J3,math_candidate,0.708774,0.801311,1.626479,,,8,3,1,grid_heavy,position_salt,0.75,262144,48,masked_targets_shared_table_cheap
10,grid_heavy_phi0.25_S262144_J2,math_candidate,0.645798,0.674854,1.443902,,,8,2,1,grid_heavy,position_salt,0.25,262144,28,masked_targets_shared_table_cheap
11,grid_heavy_phi0.5_S262144_J3,math_candidate,0.586862,0.629854,1.569895,,,8,3,1,grid_heavy,position_salt,0.5,262144,48,masked_targets_shared_table_cheap
12,grid_mix_phi0.5_S262144_J3,math_candidate,0.552484,0.590208,1.570627,,,8,3,1,grid_mix,position_salt,0.5,262144,48,masked_targets_shared_table_cheap
13,grid_mix_phi0.25_S262144_J2,math_candidate,0.540777,0.554457,1.445922,,,8,2,1,grid_mix,position_salt,0.25,262144,28,masked_targets_shared_table_cheap
14,entry_singles_run_phi0.5_S262144_J3,math_candidate,0.510952,0.539210,1.571635,,,8,3,1,entry_singles_run,position_salt,0.5,262144,48,masked_targets_shared_table_cheap
15,grid_heavy_phi0.75_S65536_J2,math_candidate,0.485691,0.513207,1.372049,,,8,2,1,grid_heavy,position_salt,0.75,65536,28,masked_targets_shared_table_cheap
16,grid_mix_phi0.75_S65536_J2,math_candidate,0.475132,0.505657,1.372067,,,8,2,1,grid_mix,position_salt,0.75,65536,28,masked_targets_shared_table_cheap
17,entry_singles_run_phi0.75_S65536_J2,math_candidate,0.452757,0.474207,1.372662,,,8,2,1,entry_singles_run,position_salt,0.75,65536,28,masked_targets_shared_table_cheap
18,grid_heavy_phi0.1_S262144_J2,math_candidate,0.440922,0.441337,1.391786,,,8,2,1,grid_heavy,position_salt,0.1,262144,28,masked_targets_shared_table_cheap
19,singles_position_salt_J2_B4,math_candidate,0.428733,0.481154,1.740071,,,4,2,1,audited_equiv,position_salt,1.0,1,28,masked_targets_shared_table_cheap
