block_size_bits,arity_cap,codec_family,pass,seed_depth_bits,log2_seed_count,bits_before,bits_after,percent_raw,accepted_replacements,gain_p50,gain_p90,gain_p99,max_gain,superposed_retained,superposed_converted,shuffle_refresh,metadata_bits
16,5,ext1,1,16,16,192000,227811,118.6514,,,,,,,,1.0,0
16,5,ext1,2,16,16,227811,227784,118.6458,11.72,2,5,9,24,1408.0,3.015e-02,1.0,16
16,5,ext1,3,16,16,227787,227760,118.6419,11.72,2,5,9,24,1409.2,3.016e-02,1.0,32
16,5,ext1,4,16,16,227764,227737,118.6379,11.72,2,5,9,24,1410.4,3.017e-02,1.0,48
16,5,ext1,5,16,16,227740,227713,118.6340,11.72,2,5,9,24,1411.6,3.017e-02,1.0,64
16,5,ext1,6,16,16,227716,227690,118.6300,11.72,2,5,9,24,1412.9,3.018e-02,1.0,80
16,5,ext1,7,16,16,227693,227666,118.6261,11.72,2,5,9,24,1414.1,3.019e-02,1.0,96
16,5,ext1,8,16,16,227669,227642,118.6221,11.72,2,5,9,24,1415.3,3.020e-02,1.0,112
16,5,ext1,1,32,32,192000,227105,118.2840,,,,,,,,1.0,0
16,5,ext1,2,32,32,227105,227069,118.2735,16.52,2,5,9,24,2506.3,4.398e-02,1.0,16
16,5,ext1,3,32,32,227064,227028,118.2602,16.51,2,5,9,24,2504.4,4.395e-02,1.0,32
16,5,ext1,4,32,32,227022,226986,118.2468,16.49,2,5,9,24,2502.5,4.392e-02,1.0,48
16,5,ext1,5,32,32,226980,226944,118.2334,16.48,2,5,9,24,2500.6,4.389e-02,1.0,64
16,5,ext1,6,32,32,226938,226902,118.2200,16.47,2,5,9,24,2498.7,4.386e-02,1.0,80
16,5,ext1,7,32,32,226896,226860,118.2064,16.45,2,5,9,24,2496.8,4.383e-02,1.0,96
16,5,ext1,8,32,32,226854,226818,118.1929,16.44,2,5,9,24,2494.9,4.380e-02,1.0,112
16,5,ext1,1,128,128,192000,220870,115.0364,,,,,,,,1.0,0
16,5,ext1,2,128,128,220870,220869,115.0443,0.40,2,4,7,19,163.2,2.228e-04,1.0,16
16,5,ext1,3,128,128,220862,220862,115.0488,0.40,2,4,7,19,163.2,2.228e-04,1.0,32
16,5,ext1,4,128,128,220855,220854,115.0533,0.40,2,4,7,19,163.2,2.229e-04,1.0,48
16,5,ext1,5,128,128,220848,220847,115.0578,0.40,2,4,7,19,163.2,2.230e-04,1.0,64
16,5,ext1,6,128,128,220840,220840,115.0623,0.40,2,4,7,19,163.2,2.231e-04,1.0,80
