mode,pass,bits_before,bits_after,pct_of_raw,entries,accepted_by_arity,retained_supo,pruned_supo,converted_supo,refresh_new/total,len_p50/p90/max
A,1,18000,25272,140.400,2227,a1:65;a2:109;a3:205;a4:82;a5:2,0,0,0,,
B,1,18000,25272,140.400,2227,a1:65;a2:109;a3:205;a4:82;a5:2,0,0,0,,
B,2,25272,25262,140.344,2223,a3:1;a2:2,0,0,0,a2:2226/2226 a3:2225/2225 a4:2224/2224 a5:2223/2223,9/24/30
B,3,25262,25262,140.344,2223,,0,0,0,a2:6/2222 a3:9/2221 a4:12/2220 a5:15/2219,9/24/30
B,4,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
B,5,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
B,6,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
B,7,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
B,8,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
B,9,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
B,10,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,1,18000,25272,140.400,2227,a1:65;a2:109;a3:205;a4:82;a5:2,0,0,0,,
C,2,25272,25262,140.344,2223,a3:1;a2:2,1947,0,0,a2:2226/2226 a3:2225/2225 a4:2224/2224 a5:2223/2223,9/24/30
C,3,25262,25262,140.344,2223,,3,0,0,a2:6/2222 a3:9/2221 a4:12/2220 a5:15/2219,9/24/30
C,4,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,5,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,6,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,7,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,8,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,9,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
C,10,25262,25262,140.344,2223,,0,0,0,a2:0/2222 a3:0/2221 a4:0/2220 a5:0/2219,9/24/30
D,1,18000,25272,140.400,2227,a1:65;a2:109;a3:205;a4:82;a5:2,0,0,0,,
D,2,25272,25267,140.372,2224,a2:3,0,0,0,a2:2226/2226 a3:2225/2225 a4:2224/2224 a5:2223/2223,9/24/30
D,3,25267,25264,140.356,2221,a2:3,0,0,0,a2:2223/2223 a3:2222/2222 a4:2221/2221 a5:2220/2220,9/24/30
D,4,25264,25262,140.344,2219,a2:2,0,0,0,a2:2220/2220 a3:2219/2219 a4:2218/2218 a5:2217/2217,9/24/30
D,5,25262,25256,140.311,2216,a3:1;a2:1,0,0,0,a2:2218/2218 a3:2217/2217 a4:2216/2216 a5:2215/2215,9/24/30
D,6,25256,25256,140.311,2216,,0,0,0,a2:2215/2215 a3:2214/2214 a4:2213/2213 a5:2212/2212,9/24/30
D,7,25256,25254,140.300,2214,a2:2,0,0,0,a2:2215/2215 a3:2214/2214 a4:2213/2213 a5:2212/2212,9/24/30
D,8,25254,25247,140.261,2211,a2:3,0,0,0,a2:2213/2213 a3:2212/2212 a4:2211/2211 a5:2210/2210,9/24/30
D,9,25247,25237,140.206,2205,a2:6,0,0,0,a2:2210/2210 a3:2209/2209 a4:2208/2208 a5:2207/2207,9/24/30
D,10,25237,25233,140.183,2202,a2:3,0,0,0,a2:2204/2204 a3:2203/2203 a4:2202/2202 a5:2201/2201,9/24/30
E,1,18000,25272,140.400,2227,a1:65;a2:109;a3:205;a4:82;a5:2,0,0,0,,
E,2,25272,25267,140.372,2224,a2:3,1947,0,0,a2:2226/2226 a3:2225/2225 a4:2224/2224 a5:2223/2223,9/24/30
E,3,25267,25264,140.356,2221,a2:3,3,0,0,a2:2223/2223 a3:2222/2222 a4:2221/2221 a5:2220/2220,9/24/30
E,4,25264,25262,140.344,2219,a2:2,3,0,0,a2:2220/2220 a3:2219/2219 a4:2218/2218 a5:2217/2217,9/24/30
E,5,25262,25256,140.311,2216,a2:1;a3:1,2,0,0,a2:2218/2218 a3:2217/2217 a4:2216/2216 a5:2215/2215,9/24/30
E,6,25256,25256,140.311,2216,,1,0,0,a2:2215/2215 a3:2214/2214 a4:2213/2213 a5:2212/2212,9/24/30
E,7,25256,25254,140.300,2214,a2:2,0,0,0,a2:2215/2215 a3:2214/2214 a4:2213/2213 a5:2212/2212,9/24/30
E,8,25254,25247,140.261,2211,a2:3,2,0,0,a2:2213/2213 a3:2212/2212 a4:2211/2211 a5:2210/2210,9/24/30
E,9,25247,25237,140.206,2205,a2:6,3,0,0,a2:2210/2210 a3:2209/2209 a4:2208/2208 a5:2207/2207,9/24/30
E,10,25237,25233,140.183,2202,a2:3,6,0,0,a2:2204/2204 a3:2203/2203 a4:2202/2202 a5:2201/2201,9/24/30
F1,1,18000,25272,140.400,2227,a1:65;a2:109;a3:205;a4:82;a5:2,0,0,0,,
F1,2,25272,25267,140.372,2220,a2:5;a1:28;a3:1,1919,0,0,a2:2226/2226 a3:2225/2225 a4:2224/2224 a5:2223/2223,9/24/30
F1,3,25267,25267,140.372,2220,,33,0,0,a2:2219/2219 a3:2218/2218 a4:2217/2217 a5:2216/2216,9/24/30
F1,4,25267,25253,140.294,2210,a3:2;a2:6,0,0,0,a2:2219/2219 a3:2218/2218 a4:2217/2217 a5:2216/2216,9/24/30
